-40.81458238,-4.62624919
-40.81374905,-4.62624919
-40.81374905,-4.62708253
-40.81458238,-4.62708253
-40.81458238,-4.62791586
-40.81291572,-4.62791586
-40.81291572,-4.62874919
-40.81208238,-4.62874919
-40.81208238,-4.62958253
-40.81124905,-4.62958253
-40.81124905,-4.63041586
-40.81041572,-4.63041586
-40.81041572,-4.63124919
-40.80958238,-4.63124919
-40.80958238,-4.63208253
-40.80874905,-4.63208253
-40.80874905,-4.63291586
-40.80791572,-4.63291586
-40.80791572,-4.63208253
-40.80624905,-4.63208253
-40.80624905,-4.63124919
-40.80541572,-4.63124919
-40.80541572,-4.63041586
-40.80291572,-4.63041586
-40.80291572,-4.62958253
-40.80208238,-4.62958253
-40.80208238,-4.62874919
-40.80124905,-4.62874919
-40.80124905,-4.62791586
-40.79958238,-4.62791586
-40.79958238,-4.62708253
-40.79874905,-4.62708253
-40.79874905,-4.62791586
-40.79791572,-4.62791586
-40.79791572,-4.62874919
-40.79708238,-4.62874919
-40.79708238,-4.62958253
-40.79624905,-4.62958253
-40.79624905,-4.63041586
-40.79541572,-4.63041586
-40.79541572,-4.63208253
-40.79291572,-4.63208253
-40.79291572,-4.63291586
-40.79041572,-4.63291586
-40.79041572,-4.63374919
-40.78791572,-4.63374919
-40.78791572,-4.63541586
-40.78708238,-4.63541586
-40.78708238,-4.63624919
-40.78541572,-4.63624919
-40.78541572,-4.63791586
-40.78291572,-4.63791586
-40.78291572,-4.63874919
-40.78124905,-4.63874919
-40.78124905,-4.63958253
-40.78041572,-4.63958253
-40.78041572,-4.64041586
-40.77874905,-4.64041586
-40.77874905,-4.64124919
-40.77708238,-4.64124919
-40.77708238,-4.64208253
-40.77624905,-4.64208253
-40.77624905,-4.64291586
-40.77541572,-4.64291586
-40.77541572,-4.64374919
-40.77458238,-4.64374919
-40.77458238,-4.64291586
-40.77208238,-4.64291586
-40.77208238,-4.64374919
-40.77124905,-4.64374919
-40.77124905,-4.64291586
-40.77041572,-4.64291586
-40.77041572,-4.64208253
-40.76958238,-4.64208253
-40.76958238,-4.64124919
-40.76708238,-4.64124919
-40.76708238,-4.63958253
-40.76541572,-4.63958253
-40.76541572,-4.63874919
-40.76374905,-4.63874919
-40.76374905,-4.63791586
-40.75874905,-4.63791586
-40.75874905,-4.63708253
