date,agg_mean__avg_pr
1973-01-01,1.4833333333333334
1973-02-01,4.489285714285715
1973-03-01,8.745161290322581
1973-04-01,8.866666666666667
1973-05-01,4.729032258064516
1973-06-01,1.8900000000000001
1973-07-01,1.3387096774193548
1973-08-01,0.13548387096774195
1973-09-01,2.5633333333333335
1973-10-01,0.0935483870967742
1973-11-01,0.3766666666666667
1973-12-01,0.42903225806451617
1974-01-01,6.429426077147583
1974-02-01,3.0072918868814376
1974-03-01,9.402537679247054
1974-04-01,16.040301068839458
1974-05-01,7.300796483609133
1974-06-01,0.8100280906181153
1974-07-01,0.09928040929256184
1974-08-01,0.0
1974-09-01,0.10092076443175961
1974-10-01,0.29037389517564094
1974-11-01,0.0005140457326617667
1974-12-01,1.3308471125209542
1975-01-01,2.914665416370889
1975-02-01,6.497483890376384
1975-03-01,10.716890576434169
1975-04-01,5.863513136114412
1975-05-01,6.227221782850688
1975-06-01,1.659747416529764
1975-07-01,0.9137869996557731
1975-08-01,0.032272656650844195
1975-09-01,0.06107201279422127
1975-10-01,0.006799021058825591
1975-11-01,0.36460275587904956
1975-12-01,0.969628395403393
1976-01-01,0.7608493163523898
1976-02-01,8.062901529684014
1976-03-01,5.6244843772558335
1976-04-01,4.347817888099528
1976-05-01,2.0186498835078583
1976-06-01,0.22904623630907364
1976-07-01,0.03718542591833644
1976-08-01,0.02421686726141917
1976-09-01,0.2751528432855989
1976-10-01,0.5161780534013582
1976-11-01,0.48625322388730724
1976-12-01,0.24329823522922286
1977-01-01,4.40997528536565
1977-02-01,3.8788254892345573
1977-03-01,7.731096221469109
1977-04-01,7.045584631645837
1977-05-01,2.816566469917288
1977-06-01,1.5902410053624576
1977-07-01,1.1158974722365849
1977-08-01,0.031507787232861344
1977-09-01,0.013023218722916024
1977-10-01,0.006301557446572268
1977-11-01,0.008053746559443306
1977-12-01,1.4383388733472986
1978-01-01,2.2051547499729915
1978-02-01,3.2880020129182697
1978-03-01,5.337862805692057
1978-04-01,5.002755782130956
1978-05-01,3.3862245070644796
1978-06-01,0.2596257989740761
1978-07-01,0.20972469430154217
1978-08-01,0.001465415944243232
1978-09-01,0.05202742948013515
1978-10-01,0.0009769439628288226
1978-11-01,0.2493849624620795
1978-12-01,0.3220288293036552
1979-01-01,3.148724501773192
1979-02-01,3.4445000204337424
1979-03-01,3.966416560457994
1979-04-01,3.2276220272151077
1979-05-01,3.4703694659353594
1979-06-01,0.7762006955346803
1979-07-01,0.038964594069843005
1979-08-01,0.28403245378269704
1979-09-01,0.11032308764133743
1979-10-01,0.004398336293838778
1979-11-01,1.513664243600701
1979-12-01,0.13423900287342208
1980-01-01,2.055925102717455
1980-02-01,8.849282327290728
1980-03-01,3.2240678470987767
1980-04-01,0.9853627797742546
1980-05-01,0.08726761433253617
1980-06-01,0.8588406875245964
1980-07-01,0.003400022564393145
1980-08-01,0.0004691558713428
1980-09-01,0.0925199818154312
1980-10-01,0.0009383117426856033
1980-11-01,0.14288712881455917
1980-12-01,0.19625690737429224
1981-01-01,2.433886000074322
1981-02-01,1.430843432750282
1981-03-01,9.013321354474444
1981-04-01,1.8286772826867026
1981-05-01,1.4293325403439363
1981-06-01,0.0034166783203827835
1981-07-01,0.00017593345175354839
1981-08-01,0.44086945634652636
1981-09-01,0.0
1981-10-01,0.0
1981-11-01,0.005863767839990447
1981-12-01,0.9947428541990719
1982-01-01,1.8535095620482636
1982-02-01,3.5249492250317926
1982-03-01,3.206437483072637
1982-04-01,2.2483344855636553
1982-05-01,0.9376604361968158
1982-06-01,0.3798898931205267
1982-07-01,0.04584799471090238
1982-08-01,0.023458297069753088
1982-09-01,0.0
1982-10-01,0.11032354521357447
1982-11-01,0.11152570607456049
1982-12-01,0.09740396086487808
1983-01-01,0.09051090647345501
1983-02-01,4.855922249061903
1983-03-01,2.161797929380513
1983-04-01,0.6816122995408912
1983-05-01,0.19645347764561477
1983-06-01,0.004959570096806904
1983-07-01,0.02489652697753523
1983-08-01,0.029169264188579996
1983-09-01,0.00181797900145336
1983-10-01,0.0011728896783570065
1983-11-01,0.0
1983-12-01,0.08164604624355588
1984-01-01,1.3947727455502748
1984-02-01,2.6475879220540484
1984-03-01,7.32532171988994
1984-04-01,9.845141522671188
1984-05-01,2.404101063650351
1984-06-01,0.4474718873808826
1984-07-01,0.35281747194716895
1984-08-01,0.017222493380013647
1984-09-01,0.06210154388338921
1984-10-01,0.9312317961707465
1984-11-01,0.36484494062612194
1984-12-01,0.1644915036317802
1985-01-01,6.001921499539917
1985-02-01,8.326829683162803
1985-03-01,9.930761152574505
1985-04-01,10.854179447031747
1985-05-01,3.209280395505037
1985-06-01,1.6247867833996883
1985-07-01,0.6144788278396957
1985-08-01,0.04163574556329305
1985-09-01,0.018460289617051585
1985-10-01,0.0
1985-11-01,0.0
1985-12-01,3.8202335888179864
1986-01-01,2.554639772424149
1986-02-01,6.513645142552599
1986-03-01,10.411885335079036
1986-04-01,5.6653437855206485
1986-05-01,2.0036387004521425
1986-06-01,1.0214898796588952
1986-07-01,0.2941082152587505
1986-08-01,0.23185842261509812
1986-09-01,0.010653768217990486
1986-10-01,0.056522074532550454
1986-11-01,0.02090675851671366
1986-12-01,0.45087345206634966
1987-01-01,0.3750826843870498
1987-02-01,2.164811269263719
1987-03-01,8.205895296068508
1987-04-01,1.2388349659058848
1987-05-01,0.5048932214721652
1987-06-01,1.047468187919505
1987-07-01,0.12052415216759645
1987-08-01,0.0
1987-09-01,0.00181797900145336
1987-10-01,0.004984781133017281
1987-11-01,0.0013937839011142433
1987-12-01,0.0
1988-01-01,1.7783516655649387
1988-02-01,1.8950870140530396
1988-03-01,11.102780087594713
1988-04-01,7.9142498806309876
1988-05-01,2.1681563821427514
1988-06-01,0.49954448376571975
1988-07-01,0.04696649580080362
1988-08-01,0.0
1988-09-01,0.0
1988-10-01,0.0
1988-11-01,0.05640784321844509
1988-12-01,3.1302306048521666
1989-01-01,1.9842940482889249
1989-02-01,1.4737916293020203
1989-03-01,6.506227109889492
1989-04-01,12.130017919264219
1989-05-01,6.179677331643875
1989-06-01,0.7232959731606381
1989-07-01,0.7717820100407012
1989-08-01,0.15294638134565394
1989-09-01,0.08694377560423847
1989-10-01,0.0017593345175355066
1989-11-01,0.03805399490606874
1989-12-01,4.1008509886723
1990-01-01,0.06681237968930936
1990-02-01,6.159675146983081
1990-03-01,1.3468015714460182
1990-04-01,3.842669911335392
1990-05-01,0.9747158297748193
1990-06-01,0.11720163705305205
1990-07-01,0.6261873016773513
1990-08-01,0.0037639157121150003
1990-09-01,0.3558289904945184
1990-10-01,0.016367967733549246
1990-11-01,0.3505519957874671
1990-12-01,0.09684077615353229
1991-01-01,3.870446919694871
1991-02-01,4.769182219784085
