date,agg_mean__avg_pr,avg_q
1978-10-01,0.0009769439628288,0.0574
1978-11-01,0.2493849624620795,0.0697
1978-12-01,0.3220288293036552,0.3087
1979-01-01,3.148724501773192,14.9332
1979-02-01,3.4445000204337424,32.6679
1979-03-01,3.966416560457994,16.8177
1979-04-01,3.227622027215108,15.9357
1979-05-01,3.4703694659353594,6.1702
1979-06-01,0.7762006955346803,1.9447
1979-07-01,0.038964594069843,0.709
1979-08-01,0.284032453782697,0.2106
1979-09-01,0.1103230876413374,0.0917
1979-10-01,0.0043983362938387,0.0032
1979-11-01,1.513664243600701,0.0013
1979-12-01,0.134239002873422,0.0003
1980-01-01,2.055925102717455,3.8819
1980-02-01,8.849282327290728,69.6503
1980-03-01,3.2240678470987767,98.9239
1980-04-01,0.9853627797742546,3.7768
1980-05-01,0.0872676143325361,1.1732
1980-06-01,0.8588406875245964,0.627
1980-07-01,0.0034000225643931,0.2552
1980-08-01,0.0004691558713428,0.0435
1980-09-01,0.0925199818154312,0.0
1980-10-01,0.0009383117426856,0.0
1980-11-01,0.1428871288145591,0.036
1980-12-01,0.1962569073742922,0.0
1981-01-01,2.433886000074322,0.8219
1981-02-01,1.430843432750282,1.1032
1981-03-01,9.013321354474444,40.4813
1981-04-01,1.8286772826867024,115.4433
1981-05-01,1.4293325403439363,2.4968
1981-06-01,0.0034166783203827,0.7173
1981-07-01,0.0001759334517535,0.149
1981-08-01,0.4408694563465263,0.0058
1981-09-01,0.0,0.0
1981-10-01,0.0,0.0
1981-11-01,0.0058637678399904,0.0
1981-12-01,0.994742854199072,0.0
1982-01-01,1.853509562048264,0.8852
1982-02-01,3.5249492250317926,2.9854
1982-03-01,3.206437483072637,13.6842
1982-04-01,2.248334485563656,8.7384
1982-05-01,0.9376604361968158,1.4103
1982-06-01,0.3798898931205267,0.4627
1982-07-01,0.0458479947109023,0.099
1982-08-01,0.023458297069753,0.0032
1982-09-01,0.0,0.0
1982-10-01,0.1103235452135744,0.0
1982-11-01,0.1115257060745604,0.0
1982-12-01,0.097403960864878,0.0
1983-01-01,0.090510906473455,0.0
1983-02-01,4.855922249061903,5.8118
1983-03-01,2.161797929380513,2.7248
1983-04-01,0.6816122995408912,0.6543
1983-05-01,0.1964534776456147,0.04
1983-06-01,0.0049595700968069,0.0
1983-07-01,0.0248965269775352,0.0
1983-08-01,0.0291692641885799,0.0
1983-09-01,0.0018179790014533,0.0
1983-10-01,0.001172889678357,0.0
1983-11-01,0.0,
1984-01-01,1.3947727455502748,
1984-02-01,2.6475879220540484,0.15
1984-03-01,7.32532171988994,56.5668
1984-04-01,9.845141522671188,333.8111
